annotation_id,pmid,gold_label,t1_predicted,t1_confidence,t1_correct,t2_error_probability,t2_uncertainty_signal,t2_monitoring_verdict,t2_monitoring_correct,t3_action,t3_revised_label,t3_justification,t3_final_label,t3_final_correct,t3_rational,model
SOEA_0001,41849674,INCONCLUSIVE,INCONCLUSIVE,0.75,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0002,41804130,INCONCLUSIVE,INCONCLUSIVE,0.85,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0003,41795860,INCONCLUSIVE,INCONCLUSIVE,0.6,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0004,41855450,SUPPORTED,SUPPORTED,0.98,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,SUPPORTED,True,True,GPT-4.1
SOEA_0005,41791832,INCONCLUSIVE,INCONCLUSIVE,0.65,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0006,41833067,INCONCLUSIVE,INCONCLUSIVE,0.65,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0007,41463775,REFUTED,SUPPORTED,0.95,0,0.5,API_ERROR,LIKELY_CORRECT,False,COMMIT,,API_ERROR,SUPPORTED,False,False,GPT-4.1
SOEA_0008,41827745,INCONCLUSIVE,INCONCLUSIVE,0.4,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0009,27430709,INCONCLUSIVE,INCONCLUSIVE,0.75,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0010,41828511,INCONCLUSIVE,INCONCLUSIVE,0.65,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0011,28404091,REFUTED,SUPPORTED,0.98,0,0.5,API_ERROR,LIKELY_CORRECT,False,COMMIT,,API_ERROR,SUPPORTED,False,False,GPT-4.1
SOEA_0012,41527772,INCONCLUSIVE,INCONCLUSIVE,0.95,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0013,41828611,INCONCLUSIVE,INCONCLUSIVE,0.75,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0014,33554076,INCONCLUSIVE,INCONCLUSIVE,0.85,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0015,41853083,INCONCLUSIVE,INCONCLUSIVE,0.75,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0016,41795601,INCONCLUSIVE,INCONCLUSIVE,0.85,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0017,41838849,INCONCLUSIVE,INCONCLUSIVE,0.75,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0018,41804555,SUPPORTED,SUPPORTED,0.95,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,SUPPORTED,True,True,GPT-4.1
SOEA_0019,41538748,INCONCLUSIVE,SUPPORTED,0.85,0,0.5,API_ERROR,LIKELY_CORRECT,False,COMMIT,,API_ERROR,SUPPORTED,False,False,GPT-4.1
SOEA_0020,41854471,INCONCLUSIVE,INCONCLUSIVE,0.95,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0021,41579852,INCONCLUSIVE,INCONCLUSIVE,0.75,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0022,41822514,INCONCLUSIVE,INCONCLUSIVE,0.85,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0023,41850192,INCONCLUSIVE,INCONCLUSIVE,0.95,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0024,41844720,INCONCLUSIVE,INCONCLUSIVE,0.3,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0025,39362263,INCONCLUSIVE,SUPPORTED,0.9,0,0.5,API_ERROR,LIKELY_CORRECT,False,COMMIT,,API_ERROR,SUPPORTED,False,False,GPT-4.1
SOEA_0026,40098902,REFUTED,SUPPORTED,0.95,0,0.5,API_ERROR,LIKELY_CORRECT,False,COMMIT,,API_ERROR,SUPPORTED,False,False,GPT-4.1
SOEA_0027,41405563,REFUTED,SUPPORTED,0.95,0,0.5,API_ERROR,LIKELY_CORRECT,False,COMMIT,,API_ERROR,SUPPORTED,False,False,GPT-4.1
SOEA_0028,41855477,INCONCLUSIVE,SUPPORTED,0.85,0,0.5,API_ERROR,LIKELY_CORRECT,False,COMMIT,,API_ERROR,SUPPORTED,False,False,GPT-4.1
SOEA_0029,41823241,INCONCLUSIVE,INCONCLUSIVE,0.65,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0030,41831217,INCONCLUSIVE,INCONCLUSIVE,0.85,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0031,36617951,INCONCLUSIVE,INCONCLUSIVE,0.65,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0032,30231024,INCONCLUSIVE,INCONCLUSIVE,0.65,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0033,41836166,INCONCLUSIVE,INCONCLUSIVE,0.4,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0034,41824841,INCONCLUSIVE,INCONCLUSIVE,0.65,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0035,41834064,INCONCLUSIVE,INCONCLUSIVE,0.65,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0036,41800718,INCONCLUSIVE,INCONCLUSIVE,0.6,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0037,41771582,INCONCLUSIVE,INCONCLUSIVE,0.7,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0038,41813059,INCONCLUSIVE,INCONCLUSIVE,0.6,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0039,38707421,INCONCLUSIVE,INCONCLUSIVE,0.85,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0040,41824845,INCONCLUSIVE,INCONCLUSIVE,0.7,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0041,41855174,INCONCLUSIVE,INCONCLUSIVE,0.95,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0042,29914924,INCONCLUSIVE,INCONCLUSIVE,0.75,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0043,41828494,INCONCLUSIVE,INCONCLUSIVE,0.85,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0044,41405208,INCONCLUSIVE,SUPPORTED,0.95,0,0.5,API_ERROR,LIKELY_CORRECT,False,COMMIT,,API_ERROR,SUPPORTED,False,False,GPT-4.1
SOEA_0045,41852066,INCONCLUSIVE,INCONCLUSIVE,0.65,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0046,41837133,INCONCLUSIVE,SUPPORTED,0.95,0,0.5,API_ERROR,LIKELY_CORRECT,False,COMMIT,,API_ERROR,SUPPORTED,False,False,GPT-4.1
SOEA_0047,41564397,INCONCLUSIVE,INCONCLUSIVE,0.7,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0048,41826267,INCONCLUSIVE,SUPPORTED,0.95,0,0.5,API_ERROR,LIKELY_CORRECT,False,COMMIT,,API_ERROR,SUPPORTED,False,False,GPT-4.1
SOEA_0049,41757470,INCONCLUSIVE,INCONCLUSIVE,0.75,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0050,41691771,REFUTED,INCONCLUSIVE,0.85,0,0.5,API_ERROR,LIKELY_CORRECT,False,COMMIT,,API_ERROR,INCONCLUSIVE,False,False,GPT-4.1
SOEA_0051,26787790,REFUTED,INCONCLUSIVE,0.85,0,0.5,API_ERROR,LIKELY_CORRECT,False,COMMIT,,API_ERROR,INCONCLUSIVE,False,False,GPT-4.1
SOEA_0052,41829910,INCONCLUSIVE,INCONCLUSIVE,0.6,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0053,30104117,SUPPORTED,SUPPORTED,0.95,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,SUPPORTED,True,True,GPT-4.1
SOEA_0054,41838370,INCONCLUSIVE,INCONCLUSIVE,0.75,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0055,41701175,INCONCLUSIVE,SUPPORTED,0.95,0,0.5,API_ERROR,LIKELY_CORRECT,False,COMMIT,,API_ERROR,SUPPORTED,False,False,GPT-4.1
SOEA_0056,41846395,INCONCLUSIVE,INCONCLUSIVE,0.65,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0057,41843412,INCONCLUSIVE,INCONCLUSIVE,0.6,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0058,41801202,SUPPORTED,SUPPORTED,0.95,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,SUPPORTED,True,True,GPT-4.1
SOEA_0059,41826596,INCONCLUSIVE,INCONCLUSIVE,0.95,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
SOEA_0060,39748752,REFUTED,SUPPORTED,0.98,0,0.5,API_ERROR,LIKELY_CORRECT,False,COMMIT,,API_ERROR,SUPPORTED,False,False,GPT-4.1
SOEA_0061,41823195,INCONCLUSIVE,INCONCLUSIVE,0.6,1,0.5,API_ERROR,LIKELY_CORRECT,True,COMMIT,,API_ERROR,INCONCLUSIVE,True,True,GPT-4.1
